,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
14442,25570,Sales & Marketing,region_9,0,m,sourcing,1,28,4.0,5,0,0,48,0
14471,72518,Sales & Marketing,region_26,0,m,other,1,36,3.0,7,0,0,51,0
14480,72197,Sales & Marketing,region_23,0,m,other,1,40,5.0,10,1,0,52,1
14503,77574,Sales & Marketing,region_7,0,m,sourcing,1,27,,1,0,0,48,0
14509,74904,Sales & Marketing,region_7,0,m,sourcing,2,32,3.0,3,0,0,53,0
14512,56597,Operations,region_2,0,f,other,1,47,3.0,4,1,1,55,0
14540,77522,Sales & Marketing,region_31,0,m,sourcing,1,31,3.0,5,0,0,47,0
14565,33993,Sales & Marketing,region_26,0,m,sourcing,1,24,4.0,2,1,0,84,1
14572,40973,Sales & Marketing,region_2,0,m,sourcing,2,25,,1,0,0,48,0
14580,6043,Sales & Marketing,region_7,0,m,other,1,34,3.0,5,0,0,47,0
14609,46173,Finance,region_2,0,m,other,1,32,2.0,7,0,0,66,0
14627,9370,Sales & Marketing,region_7,0,m,sourcing,1,40,5.0,5,1,0,48,0
14639,55093,Analytics,region_29,0,m,other,1,29,1.0,5,1,0,85,0
14643,56023,Sales & Marketing,region_6,0,m,other,1,23,1.0,1,0,0,50,0
14676,78149,Sales & Marketing,region_2,0,m,sourcing,1,34,4.0,7,1,0,43,0
14741,41164,Sales & Marketing,region_2,0,m,other,1,26,3.0,3,1,0,53,0
14744,24961,Analytics,region_22,0,m,sourcing,1,35,1.0,10,0,0,86,0
14751,3575,Operations,region_2,0,m,other,1,33,3.0,5,0,0,60,0
14758,26915,Operations,region_22,0,m,sourcing,1,29,3.0,5,0,0,59,0
14762,3958,HR,region_2,0,m,sourcing,1,31,3.0,6,0,0,48,0
14763,73698,Operations,region_2,0,m,other,2,38,3.0,9,1,0,59,0
14810,31992,Analytics,region_28,0,m,other,2,34,3.0,6,0,0,87,0
14814,35053,Sales & Marketing,region_2,0,m,other,1,39,4.0,8,0,0,51,0
14817,54190,Sales & Marketing,region_2,0,f,other,4,32,1.0,8,0,0,51,0
14871,29411,Analytics,region_22,0,m,sourcing,1,27,,1,1,0,84,0
14891,57132,Sales & Marketing,region_2,0,m,other,1,36,2.0,3,0,0,47,0
14893,62607,Sales & Marketing,region_23,0,m,sourcing,1,37,5.0,4,0,0,49,0
14908,6962,Sales & Marketing,region_2,0,f,other,1,25,5.0,3,0,0,50,0
14915,29825,Sales & Marketing,region_7,0,m,other,1,34,5.0,5,1,0,48,0
14916,30878,Sales & Marketing,region_13,0,m,sourcing,1,32,3.0,5,1,0,47,0
14935,43833,Sales & Marketing,region_2,0,f,other,2,43,5.0,14,0,0,44,0
14961,13961,Sales & Marketing,region_2,0,m,sourcing,2,28,3.0,2,0,0,53,0
14967,65341,Sales & Marketing,region_22,0,m,other,1,29,3.0,4,0,0,50,0
14973,37426,Sales & Marketing,region_22,0,f,sourcing,1,22,1.0,2,0,0,53,0
15008,74938,Operations,region_15,0,m,sourcing,1,36,3.0,7,1,0,60,0
15015,6938,Sales & Marketing,region_2,0,f,sourcing,1,28,,1,0,0,52,0
15061,39721,Sales & Marketing,region_22,0,m,sourcing,1,22,1.0,2,0,0,49,0
15073,47670,Sales & Marketing,region_2,0,m,sourcing,1,51,1.0,9,0,0,46,0
15105,59267,Analytics,region_28,0,m,other,1,35,5.0,2,0,0,86,1
15135,39375,Operations,region_2,0,f,sourcing,1,36,5.0,9,1,0,56,0
15186,16185,Sales & Marketing,region_19,0,m,sourcing,1,42,2.0,7,0,0,50,0
15199,8142,Analytics,region_32,0,m,sourcing,1,29,4.0,5,1,0,84,0
15202,27038,Finance,region_2,0,m,other,1,29,,1,0,0,61,0
15223,8094,Analytics,region_7,0,m,other,1,39,2.0,5,0,0,82,0
15253,13731,Procurement,region_17,0,f,sourcing,1,31,4.0,4,0,0,64,0
15273,57391,Sales & Marketing,region_2,0,m,other,1,23,5.0,2,0,0,49,0
15277,38366,Analytics,region_15,0,m,other,1,30,3.0,6,0,0,88,0
15306,47041,HR,region_2,0,m,other,1,41,2.0,11,0,0,45,0
15346,940,Sales & Marketing,region_2,0,m,other,1,32,1.0,7,0,1,48,0
15347,16314,Sales & Marketing,region_22,0,m,sourcing,1,27,3.0,3,0,0,47,0
15351,36249,Operations,region_32,0,m,other,1,28,1.0,2,0,0,58,0
15380,31958,Analytics,region_22,0,m,other,1,28,,1,0,0,83,0
15442,74795,Operations,region_22,0,m,sourcing,1,26,3.0,5,0,0,60,0
15479,53282,Sales & Marketing,region_7,0,m,other,1,37,3.0,5,0,0,47,0
15487,33281,Analytics,region_22,0,m,sourcing,1,29,3.0,6,1,0,86,1
15526,55682,Analytics,region_22,0,m,other,2,26,,1,0,1,82,1
15591,36583,Sales & Marketing,region_22,0,m,other,1,29,,1,0,0,56,0
15699,44032,Sales & Marketing,region_7,0,m,other,1,38,5.0,4,0,0,50,0
15727,16237,Sales & Marketing,region_5,0,m,sourcing,1,22,3.0,2,0,0,45,0
15772,56132,Technology,region_2,0,f,other,1,42,3.0,7,0,0,83,0
15784,57091,Sales & Marketing,region_2,0,f,other,1,21,3.0,2,1,0,49,0
15820,53200,Sales & Marketing,region_22,0,m,sourcing,1,28,3.0,3,1,0,49,0
15827,65329,Analytics,region_22,0,m,sourcing,1,29,3.0,3,1,0,86,0
15857,18916,Sales & Marketing,region_2,0,m,other,3,26,5.0,2,1,0,52,0
15867,1225,Sales & Marketing,region_25,0,m,other,1,32,1.0,8,0,0,47,0
15880,9752,Sales & Marketing,region_5,0,m,other,1,27,,1,0,0,47,0
15895,57854,Technology,region_2,0,f,other,1,50,3.0,16,0,0,82,0
15946,56587,Sales & Marketing,region_2,0,m,sourcing,1,38,5.0,9,0,0,44,0
15984,5706,Sales & Marketing,region_15,0,m,other,1,30,,1,0,0,48,0
16037,70659,Sales & Marketing,region_9,0,m,sourcing,1,35,4.0,8,0,0,50,0
16041,55758,Sales & Marketing,region_16,0,m,sourcing,1,21,,1,0,0,52,0
16075,12467,Sales & Marketing,region_29,0,m,sourcing,1,28,1.0,2,0,0,44,0
16101,66136,Sales & Marketing,region_7,0,m,other,1,29,4.0,6,0,0,54,0
16137,68542,Sales & Marketing,region_2,0,m,sourcing,1,51,4.0,15,0,0,53,0
16144,31636,Sales & Marketing,region_22,0,m,sourcing,1,28,4.0,5,1,0,48,0
16183,2598,Sales & Marketing,region_2,0,f,other,1,60,1.0,13,0,0,53,0
16188,17504,Sales & Marketing,region_2,0,f,sourcing,1,24,,1,0,0,54,0
16209,10060,Analytics,region_15,0,m,other,2,37,4.0,7,1,0,89,0
16235,20638,Sales & Marketing,region_27,0,m,other,1,29,4.0,4,0,0,48,0
16257,47494,Operations,region_26,0,m,other,1,26,5.0,2,0,0,56,0
16279,33023,Technology,region_26,0,m,sourcing,1,30,5.0,5,1,0,84,0
16303,9459,Technology,region_2,0,m,sourcing,1,29,5.0,4,0,0,85,1
16332,3119,Sales & Marketing,region_16,0,m,other,1,36,3.0,10,0,0,55,0
16412,57657,Sales & Marketing,region_2,0,f,sourcing,1,23,,1,0,0,49,0
16441,299,Sales & Marketing,region_26,0,m,other,1,31,3.0,4,1,0,49,0
16453,27633,Sales & Marketing,region_7,0,m,sourcing,1,31,5.0,6,1,0,45,0
16454,47304,Sales & Marketing,region_7,0,m,sourcing,1,26,5.0,2,0,0,50,0
16460,5819,Operations,region_26,0,f,other,1,28,3.0,5,0,0,59,0
16469,55287,Analytics,region_7,0,m,other,1,28,3.0,6,0,0,83,0
16474,27019,Operations,region_27,0,m,other,1,28,,1,0,0,62,0
16494,29775,Sales & Marketing,region_26,0,m,other,1,29,5.0,3,1,0,50,0
16497,13606,Sales & Marketing,region_22,0,m,other,1,27,2.0,3,1,0,48,0
16502,19404,Sales & Marketing,region_2,0,m,sourcing,1,23,,1,0,0,48,0
16506,9858,Sales & Marketing,region_31,0,m,sourcing,1,32,3.0,5,0,0,51,0
16518,60154,Sales & Marketing,region_22,0,m,other,1,23,4.0,2,0,0,46,0
16527,53017,Sales & Marketing,region_7,0,m,sourcing,1,29,,1,0,0,51,0
16536,46476,Sales & Marketing,region_31,0,m,other,1,26,3.0,2,0,0,51,0
16544,55633,Sales & Marketing,region_15,0,m,sourcing,1,32,2.0,5,0,0,49,0
16554,3376,Sales & Marketing,region_31,0,m,other,1,30,,1,0,0,49,0
16590,59209,Sales & Marketing,region_30,0,m,other,1,24,,1,0,0,44,0
16620,63339,Sales & Marketing,region_2,0,m,sourcing,1,24,3.0,2,1,0,54,0
16630,62576,Procurement,region_15,0,f,sourcing,1,53,5.0,13,1,0,71,0
16689,39231,Sales & Marketing,region_2,0,m,other,1,50,4.0,6,0,0,50,0
16691,49092,Operations,region_15,0,m,sourcing,1,32,5.0,2,1,0,58,0
16696,15417,Sales & Marketing,region_28,0,m,sourcing,1,30,3.0,2,1,1,48,1
16708,70666,Sales & Marketing,region_2,0,m,sourcing,1,24,3.0,3,0,0,49,0
16714,1808,Sales & Marketing,region_7,0,m,other,1,27,,1,0,0,53,0
16750,53149,Sales & Marketing,region_2,0,f,sourcing,1,38,4.0,3,0,0,52,0
16756,32207,Sales & Marketing,region_2,0,f,other,1,30,2.0,6,0,0,51,0
16766,23354,Sales & Marketing,region_2,0,f,other,1,25,2.0,4,0,0,51,0
16784,64040,Sales & Marketing,region_2,0,m,other,1,39,5.0,5,1,0,51,0
16791,49738,Operations,region_2,0,f,other,1,33,5.0,7,1,0,63,0
16831,73129,Sales & Marketing,region_25,0,m,other,1,26,4.0,4,0,0,54,0
16881,34206,Sales & Marketing,region_15,0,m,other,1,42,1.0,3,0,0,54,0
16887,53459,Finance,region_30,0,f,sourcing,1,28,5.0,4,1,0,62,0
16912,51878,Analytics,region_22,0,m,other,1,27,5.0,3,1,0,86,0
16922,5374,Operations,region_31,0,m,other,1,30,4.0,4,1,0,62,0
16936,51764,Sales & Marketing,region_13,0,m,other,1,25,2.0,3,0,0,50,0
16954,78213,Sales & Marketing,region_14,0,m,sourcing,1,23,5.0,2,1,0,55,0
17006,53919,Sales & Marketing,region_2,0,m,other,1,37,1.0,10,0,0,54,0
17023,3002,Operations,region_15,0,m,sourcing,2,38,4.0,9,0,0,57,0
17031,37980,Sales & Marketing,region_15,0,m,sourcing,1,23,5.0,2,0,0,49,0
17040,19749,Analytics,region_26,0,m,other,2,23,,1,0,0,82,0
17048,51931,Operations,region_2,0,m,other,1,43,5.0,11,0,0,59,0
17108,12533,Sales & Marketing,region_15,0,m,sourcing,1,31,4.0,7,0,0,52,0
17116,6548,Technology,region_22,0,m,other,2,27,1.0,2,0,0,78,0
17130,76797,Analytics,region_26,0,m,other,1,28,3.0,5,0,0,89,0
17134,26783,Sales & Marketing,region_15,0,m,sourcing,1,37,5.0,10,0,0,51,0
17153,52979,Sales & Marketing,region_2,0,f,sourcing,2,34,1.0,7,0,0,49,0
17180,27963,Operations,region_2,0,f,other,1,29,4.0,6,1,0,58,0
17195,72575,Sales & Marketing,region_7,0,m,sourcing,1,22,,1,0,0,50,0
17199,5190,Sales & Marketing,region_27,0,m,other,1,25,2.0,2,0,0,51,0
17237,69400,Sales & Marketing,region_23,0,m,other,1,24,,1,1,0,51,1
17289,30724,Sales & Marketing,region_2,0,m,sourcing,1,37,3.0,5,1,0,52,0
17314,69935,Sales & Marketing,region_2,0,m,other,1,23,,1,1,0,50,0
17340,59553,Sales & Marketing,region_22,0,m,sourcing,1,29,1.0,3,0,0,50,0
17350,37986,Operations,region_2,0,f,sourcing,1,29,5.0,6,0,0,56,0
17422,56567,Sales & Marketing,region_7,0,m,sourcing,1,26,3.0,3,0,0,49,0
17465,17215,Analytics,region_31,0,m,sourcing,2,30,4.0,9,0,0,88,0
17491,48639,Operations,region_2,0,m,other,1,29,1.0,5,0,0,58,0
17501,39624,Analytics,region_9,0,m,other,1,31,3.0,7,0,0,81,0
17519,6318,Sales & Marketing,region_13,0,m,other,1,22,,1,1,0,49,0
17541,56556,Operations,region_2,0,m,sourcing,2,39,4.0,14,1,0,61,0
17544,38775,Analytics,region_22,0,m,sourcing,1,27,,1,0,0,86,0
17605,16895,Sales & Marketing,region_29,0,m,other,1,29,,1,0,0,49,0
17607,22432,Analytics,region_7,0,m,other,1,29,3.0,4,1,0,82,0
17625,10594,Sales & Marketing,region_7,0,m,sourcing,1,33,1.0,8,0,0,48,0
17626,42261,Sales & Marketing,region_22,0,f,other,1,28,5.0,2,1,0,54,0
17636,27328,Sales & Marketing,region_2,0,f,other,1,44,3.0,17,0,0,48,0
17653,71105,Analytics,region_29,0,m,other,1,30,3.0,8,1,0,84,0
17659,3760,Analytics,region_2,0,m,other,2,22,,1,1,0,84,0
17678,40859,Sales & Marketing,region_23,0,m,other,1,41,3.0,5,0,0,51,0
17685,66158,Sales & Marketing,region_16,0,m,other,1,32,1.0,6,0,0,51,0
17691,27973,Sales & Marketing,region_27,0,m,other,2,23,1.0,2,0,0,51,0
17702,12990,Sales & Marketing,region_2,0,m,other,1,38,1.0,3,0,0,47,0
17715,73373,Analytics,region_31,0,m,sourcing,1,26,4.0,1,1,0,90,0
17722,51053,Sales & Marketing,region_28,0,m,other,1,27,,1,0,0,48,0
17724,76176,Sales & Marketing,region_27,0,m,sourcing,1,36,1.0,5,0,0,52,0
17733,37779,Sales & Marketing,region_28,0,m,sourcing,1,24,4.0,3,1,0,50,0
17755,71695,Technology,region_2,0,m,other,1,55,1.0,15,0,0,82,0
17770,67799,Sales & Marketing,region_30,0,m,sourcing,1,32,2.0,3,0,0,47,0
17802,65923,Sales & Marketing,region_15,0,m,sourcing,1,28,3.0,2,0,0,50,0
17830,18424,Sales & Marketing,region_13,0,m,other,1,23,4.0,2,0,0,46,0
17883,75050,Operations,region_15,0,m,other,1,42,4.0,3,0,0,57,0
17900,72795,Sales & Marketing,region_15,0,m,other,1,26,,1,0,0,51,0
17911,27355,Sales & Marketing,region_7,0,m,other,2,25,3.0,3,0,0,46,0
17979,43521,Sales & Marketing,region_15,0,m,other,1,26,4.0,4,0,0,53,0
17981,67815,Sales & Marketing,region_13,0,m,sourcing,2,40,1.0,13,0,0,49,0
17984,56529,Sales & Marketing,region_7,0,m,other,5,31,3.0,2,0,0,53,0
18020,34801,Sales & Marketing,region_22,0,m,sourcing,1,25,4.0,3,0,0,52,0
18030,76206,Sales & Marketing,region_7,0,m,sourcing,1,43,4.0,14,0,0,44,0
18059,46881,Analytics,region_2,0,m,other,1,36,5.0,3,0,0,85,0
18115,55355,Sales & Marketing,region_9,0,m,sourcing,1,32,2.0,6,0,0,49,0
18166,53328,Sales & Marketing,region_2,0,m,sourcing,5,24,,1,0,0,51,0
18186,43426,Sales & Marketing,region_2,0,f,sourcing,2,25,2.0,2,0,0,53,0
18224,12517,Operations,region_23,0,m,sourcing,1,29,4.0,3,0,0,65,0
18240,2995,Analytics,region_22,0,m,sourcing,1,27,3.0,5,0,0,87,0
18256,11595,Sales & Marketing,region_31,0,m,other,1,33,1.0,6,0,0,47,0
18266,46363,R&D,region_2,0,m,sourcing,1,24,5.0,2,0,0,83,0
18299,22858,R&D,region_2,0,m,other,2,24,,1,1,0,83,1
18381,38088,Sales & Marketing,region_14,0,m,other,1,25,1.0,2,0,0,47,0
18388,28022,Analytics,region_15,0,m,other,1,30,4.0,5,0,0,85,0
18414,21535,Sales & Marketing,region_11,0,m,sourcing,1,33,3.0,9,0,0,45,0
18426,4567,Analytics,region_2,0,m,other,1,54,5.0,8,1,0,82,0
18430,76476,Analytics,region_2,0,m,other,2,26,4.0,3,0,0,84,0
18434,28381,Analytics,region_32,0,m,other,2,23,,1,0,0,87,0
18478,74620,Sales & Marketing,region_6,0,m,other,1,32,3.0,5,0,0,51,0
18515,11162,Sales & Marketing,region_7,0,m,other,2,26,3.0,3,0,0,47,0
18533,73509,Sales & Marketing,region_2,0,m,other,1,44,3.0,3,0,0,47,0
18535,38094,Sales & Marketing,region_2,0,m,sourcing,2,46,2.0,21,0,0,53,0
18601,4877,Sales & Marketing,region_31,0,m,sourcing,2,27,,1,0,0,45,0
18652,41294,Technology,region_2,0,f,sourcing,1,29,4.0,3,0,0,81,0
18681,48475,Analytics,region_2,0,m,sourcing,3,22,,1,0,0,79,0
18682,13833,Sales & Marketing,region_13,0,m,sourcing,1,45,5.0,16,0,0,62,1
18698,990,HR,region_27,0,m,sourcing,1,28,1.0,3,0,0,50,0
18702,68932,Sales & Marketing,region_14,0,m,sourcing,1,25,1.0,3,0,0,46,0
18755,36556,Sales & Marketing,region_2,0,f,other,1,36,4.0,5,0,0,51,0
18781,77184,Sales & Marketing,region_22,0,m,other,1,30,1.0,1,0,0,51,0
18784,69436,Sales & Marketing,region_22,0,f,other,1,29,5.0,6,0,0,51,0
18894,48841,Sales & Marketing,region_16,0,m,sourcing,1,30,1.0,7,0,0,48,0
18902,9354,Sales & Marketing,region_22,0,m,other,1,20,,1,0,0,51,0
18906,7997,Sales & Marketing,region_2,0,m,other,1,24,,1,0,0,94,1
18910,61172,Sales & Marketing,region_1,0,m,sourcing,1,26,3.0,3,0,0,47,0
18925,24158,Sales & Marketing,region_2,0,m,other,1,24,2.0,2,0,0,51,0
18931,32391,Analytics,region_15,0,m,sourcing,1,28,3.0,2,1,0,86,0
18985,5483,Sales & Marketing,region_2,0,m,other,1,38,5.0,4,1,1,45,0
19005,75593,Sales & Marketing,region_31,0,m,other,1,40,3.0,8,0,0,49,0
19055,10978,Sales & Marketing,region_19,0,m,sourcing,1,33,3.0,8,0,0,49,0
19106,37583,HR,region_26,0,m,sourcing,1,30,,1,0,0,48,0
19108,52305,Sales & Marketing,region_2,0,m,other,1,30,2.0,5,0,0,52,0
19119,39955,Sales & Marketing,region_2,0,m,sourcing,1,33,4.0,8,0,0,49,0
19121,66011,Sales & Marketing,region_26,0,f,other,1,22,,1,0,0,55,0
19153,52678,Sales & Marketing,region_22,0,m,other,1,25,5.0,2,1,0,54,0
19176,44294,Analytics,region_22,0,m,other,1,27,3.0,3,1,0,87,1
19179,67713,Analytics,region_31,0,m,other,1,28,,1,0,0,79,0
19237,13649,Sales & Marketing,region_2,0,m,other,1,36,3.0,3,1,0,46,0
19243,75537,Technology,region_27,0,m,sourcing,1,28,1.0,2,0,0,78,0
19249,67729,Finance,region_22,0,m,sourcing,2,27,3.0,2,0,0,60,0
19325,10177,Technology,region_2,0,f,sourcing,1,32,4.0,7,0,0,77,0
19380,60855,Sales & Marketing,region_22,0,m,other,1,28,1.0,2,1,0,57,0
19389,41197,Analytics,region_22,0,m,other,1,30,1.0,4,0,0,86,0
19425,67855,Sales & Marketing,region_7,0,m,other,1,25,3.0,2,1,0,51,0
19501,40060,Technology,region_2,0,m,other,1,55,5.0,13,0,0,83,0
19503,69366,Sales & Marketing,region_15,0,m,other,1,37,5.0,3,1,0,53,0
19515,19400,Procurement,region_2,0,m,sourcing,1,39,3.0,3,0,0,73,0
19539,52414,Sales & Marketing,region_7,0,m,other,1,28,5.0,5,1,0,52,0
19577,65729,Sales & Marketing,region_2,0,f,other,1,52,1.0,3,0,0,52,0
19597,47572,Sales & Marketing,region_9,0,m,other,1,27,1.0,2,0,0,51,0
19598,51536,Sales & Marketing,region_2,0,m,other,1,45,2.0,5,0,0,48,0
19610,49525,Analytics,region_2,0,m,other,1,26,3.0,7,0,0,84,0
19681,1236,Sales & Marketing,region_16,0,f,other,2,24,,1,0,0,51,0
19785,5058,Analytics,region_9,0,m,other,1,29,3.0,3,0,0,82,0
19796,36012,Sales & Marketing,region_2,0,m,other,1,23,,1,0,0,53,0
19813,17209,Sales & Marketing,region_15,0,m,sourcing,1,28,5.0,6,0,0,47,0
19953,5792,Operations,region_15,0,m,other,1,39,5.0,7,1,0,61,0
19985,49188,Technology,region_2,0,f,other,1,31,1.0,4,0,0,89,1
19986,18645,Analytics,region_22,0,m,other,1,29,4.0,3,1,0,81,0
20032,19306,Technology,region_2,0,f,other,1,39,3.0,9,0,0,80,0
20035,53184,Analytics,region_22,0,f,sourcing,1,27,,1,0,0,84,0
20050,29231,Analytics,region_25,0,m,other,1,25,5.0,2,0,0,83,0
20054,76868,Sales & Marketing,region_27,0,m,sourcing,1,28,4.0,6,1,0,47,0
20074,65343,Sales & Marketing,region_25,0,m,sourcing,3,25,4.0,3,1,0,49,0
20080,27600,Sales & Marketing,region_22,0,m,sourcing,2,26,1.0,2,0,0,50,0
20143,41276,Sales & Marketing,region_2,0,m,sourcing,1,31,5.0,2,0,0,49,0
20158,41525,Technology,region_2,0,m,other,1,42,3.0,13,0,0,78,0
20173,67793,Operations,region_31,0,m,sourcing,1,28,3.0,4,0,0,54,0
20184,52482,Sales & Marketing,region_25,0,m,other,1,27,5.0,3,1,0,55,0
20236,10240,Sales & Marketing,region_2,0,m,sourcing,1,28,,1,0,0,47,0
20237,57974,Sales & Marketing,region_31,0,m,other,1,22,3.0,2,0,0,50,0
20242,30921,Analytics,region_27,0,m,sourcing,2,31,4.0,4,0,0,86,0
20250,72836,Sales & Marketing,region_32,0,f,sourcing,1,28,,1,0,0,48,0
20260,46165,Sales & Marketing,region_22,0,m,sourcing,1,26,5.0,3,0,0,53,0
20277,50015,Sales & Marketing,region_15,0,m,sourcing,1,35,5.0,9,0,0,49,0
20284,18639,Sales & Marketing,region_1,0,m,sourcing,1,27,4.0,3,0,0,51,0
20291,53380,HR,region_7,0,m,other,1,31,4.0,3,0,0,48,0
20319,69734,Sales & Marketing,region_15,0,f,sourcing,1,32,3.0,7,0,0,46,0
20334,30699,Operations,region_2,0,m,sourcing,1,38,5.0,6,0,0,56,0
20360,18996,Sales & Marketing,region_27,0,m,sourcing,2,30,1.0,3,1,0,54,0
20373,42846,Sales & Marketing,region_2,0,m,sourcing,1,29,4.0,2,0,0,46,0
20382,2726,HR,region_2,0,m,other,1,35,2.0,8,0,0,47,0
20397,75900,Sales & Marketing,region_22,0,m,sourcing,1,27,,1,0,0,46,0
20410,67618,Analytics,region_9,0,m,sourcing,1,28,3.0,6,0,0,85,0
20469,21382,Sales & Marketing,region_7,0,m,other,1,32,1.0,7,0,0,55,0
20499,46221,Operations,region_2,0,m,sourcing,1,34,4.0,7,0,0,58,0
20514,35492,Sales & Marketing,region_21,0,m,other,1,37,1.0,4,0,0,51,0
20550,21566,Sales & Marketing,region_21,0,m,other,1,31,1.0,6,0,0,50,0
20590,48637,Analytics,region_2,0,m,sourcing,1,26,4.0,3,0,0,85,0
20624,60892,Sales & Marketing,region_15,0,m,other,1,33,3.0,5,0,0,49,0
20674,17302,Analytics,region_7,0,m,other,1,34,4.0,9,0,0,85,0
20695,45028,Analytics,region_22,0,m,sourcing,1,26,3.0,3,0,0,87,0
20706,45245,Sales & Marketing,region_7,0,m,other,1,33,1.0,6,0,0,47,0
20755,46287,Procurement,region_2,0,m,sourcing,1,44,4.0,12,0,0,70,0
20772,49162,Operations,region_2,0,m,sourcing,1,55,3.0,6,1,0,62,0
20859,63733,Sales & Marketing,region_22,0,m,other,1,29,5.0,3,0,0,53,0
20875,37761,Sales & Marketing,region_2,0,m,other,1,26,4.0,2,0,0,49,0
20890,41228,Sales & Marketing,region_31,0,m,other,1,38,3.0,7,0,0,49,0
20922,38305,Sales & Marketing,region_15,0,m,other,1,39,5.0,5,1,0,49,0
20924,1401,Sales & Marketing,region_2,0,m,other,1,51,1.0,15,0,0,54,0
20954,703,Analytics,region_22,0,f,other,1,27,,1,0,0,84,0
20962,64461,Sales & Marketing,region_2,0,f,sourcing,1,22,4.0,1,0,0,52,0
20974,75797,Procurement,region_17,0,f,other,1,29,5.0,5,1,0,67,0
20981,60802,Sales & Marketing,region_28,0,m,other,1,32,3.0,3,0,0,51,0
20983,25161,Analytics,region_2,0,m,sourcing,1,34,5.0,7,0,0,86,0
20985,32689,Sales & Marketing,region_7,0,m,other,1,26,1.0,4,0,0,49,0
21039,71603,Technology,region_23,0,m,other,1,35,5.0,2,1,0,79,0
21097,46285,Sales & Marketing,region_7,0,m,other,1,32,3.0,4,1,0,50,0
21128,22401,Finance,region_2,0,m,sourcing,1,31,4.0,5,1,1,60,0
21130,30857,Sales & Marketing,region_2,0,f,other,1,38,1.0,3,1,0,51,0
21172,42566,Analytics,region_22,0,m,other,2,28,5.0,4,1,0,81,0
21182,28091,Sales & Marketing,region_2,0,f,other,1,31,4.0,8,0,0,48,0
21241,70239,Procurement,region_17,0,f,other,1,29,4.0,2,0,0,71,0
21256,46324,Sales & Marketing,region_2,0,f,sourcing,1,22,3.0,1,0,0,46,0
21281,43174,Sales & Marketing,region_25,0,m,other,1,27,5.0,3,0,0,49,0
21292,18593,Sales & Marketing,region_28,0,m,other,1,34,2.0,3,0,0,46,0
21341,52348,Sales & Marketing,region_2,0,m,sourcing,1,40,3.0,7,0,0,50,0
21353,60854,Sales & Marketing,region_22,0,m,other,1,24,,1,0,0,46,0
21354,53567,Technology,region_2,0,f,other,2,40,2.0,7,0,0,79,0
21512,41856,Sales & Marketing,region_32,0,m,sourcing,1,26,4.0,2,0,0,46,0
21558,48727,Technology,region_2,0,f,other,1,55,3.0,18,0,0,80,0
21584,38307,Sales & Marketing,region_2,0,f,sourcing,1,51,1.0,7,0,0,49,0
21625,4818,Technology,region_2,0,f,other,1,41,3.0,3,0,0,74,0
21633,16657,Analytics,region_2,0,m,other,1,24,,1,0,0,86,0
21653,19286,Sales & Marketing,region_22,0,m,other,1,25,,1,0,0,49,0
21659,38363,Sales & Marketing,region_23,0,m,sourcing,2,30,3.0,2,0,0,53,0
21671,50936,Sales & Marketing,region_7,0,m,sourcing,1,36,2.0,7,0,0,45,0
21674,69898,Operations,region_2,0,f,other,1,58,3.0,4,1,0,53,0
21692,44659,Technology,region_2,0,m,other,1,30,5.0,4,1,0,80,1
21706,12181,Analytics,region_15,0,m,other,1,35,5.0,4,0,0,85,0
21715,15633,Sales & Marketing,region_15,0,m,sourcing,3,33,1.0,3,0,0,48,0
21741,59863,Sales & Marketing,region_16,0,m,sourcing,1,25,,1,0,0,51,0
21753,69426,Technology,region_9,0,m,sourcing,1,30,2.0,5,0,0,73,0
21758,11342,Operations,region_2,0,f,other,1,31,3.0,7,1,0,59,0
21776,22116,Analytics,region_9,0,m,other,1,29,4.0,3,0,0,84,0
21777,71919,Operations,region_2,0,f,sourcing,1,40,3.0,11,0,0,59,0
21805,22667,Sales & Marketing,region_22,0,m,sourcing,1,24,4.0,2,0,0,48,0
21806,3673,Sales & Marketing,region_28,0,m,other,1,33,5.0,6,0,0,52,0
21816,22964,Sales & Marketing,region_15,0,m,sourcing,1,30,3.0,3,0,0,48,0
21854,39485,Sales & Marketing,region_27,0,m,other,1,28,3.0,5,0,0,44,0
21855,3359,Sales & Marketing,region_26,0,m,other,1,32,5.0,8,0,0,45,0
21886,13056,Analytics,region_22,0,m,sourcing,1,29,4.0,4,1,0,89,0
21888,58254,Sales & Marketing,region_2,0,f,other,1,37,3.0,3,0,0,50,0
21956,35190,Sales & Marketing,region_2,0,m,sourcing,1,30,3.0,3,0,0,50,0
22002,27571,Sales & Marketing,region_15,0,m,other,1,29,3.0,2,0,0,50,0
22015,52615,Sales & Marketing,region_26,0,m,sourcing,1,25,,1,0,0,57,0
22018,9435,Finance,region_13,0,m,other,1,29,3.0,2,0,0,60,0
22021,51678,Sales & Marketing,region_27,0,m,sourcing,1,35,3.0,9,0,0,51,0
22029,14681,Sales & Marketing,region_7,0,m,other,1,29,3.0,3,1,0,45,0
22045,56252,Operations,region_2,0,m,other,1,46,5.0,6,1,0,59,0
22106,46190,Sales & Marketing,region_2,0,m,sourcing,1,57,1.0,16,0,0,52,0
22130,26758,Operations,region_15,0,m,other,1,34,3.0,7,0,0,55,0
